Слово;Крюков;Шолохов
иза;1;4
голова;2;2
человек;3;29
голос;4;34
рука;6;5
глаз;7;6
мень;8;36
день;9;20
гора;10;30
казак;11;41
раз;15;90
сторона;16;80
нога;17;10
дом;18;48
год;19;24
лицо;20;28
деньга;22;79
дело;24;65
дорога;26;44
пот;27;33
слово;28;60
время;29;98
пол;32;17
стена;33;67
сердце;34;52
хлеб;37;37
ночь;40;22
улица;43;62
свет;46;86
баба;53;64
бог;54;99
лес;55;35
лошадь;56;39
станица;71;51
 земля;82;13
 пан;84;59
 шаг;90;100
 ветер;91;54
 вода;93;12
 конец;94;97
 плечо;96;71
 утро;97;38
 отец;99;19
